TimeStep,True_X,True_Y,Measured_X,Measured_Y,Filtered_X,Filtered_Y
0,0.0,0.0,0.33268894898503687,-0.8004760025292998,0.33268894898503687,-0.8004760025292998
1,1.0,0.5,-1.326704810193133,0.6430709458071284,-0.497007930604048,-0.07870252836108571
2,2.0,1.0,0.9463534873861903,3.2644109868287368,-0.015887457940635247,1.0356686433688551
3,3.0,1.5,6.960484893294586,1.0711419317294792,1.72820562986817,1.044536965459011
4,4.0,2.0,3.141631668384089,2.5716855780466705,2.010890837571354,1.349966687976543
5,5.0,2.5,2.2738750239894654,-0.7058373454721787,2.3991280525722396,1.3688944193879673
6,6.0,3.0,5.7687340132643,4.421136668694981,3.818215817263726,2.1245075639655377
7,7.0,3.5,9.224975158211022,3.937219422895852,5.4739401514286925,2.259069251178961
8,8.0,4.0,12.093091222590182,3.4481646621905986,6.500461417287812,2.7344737972711846
9,9.0,4.5,13.84555831462346,5.376910664067213,8.641246746535685,3.295518814475293
10,10.0,5.0,6.7594307134011515,3.559085566055116,9.538357884418023,4.148503396780752
11,11.0,5.5,13.646304995644785,5.097337834832348,11.11387208089412,4.283743630008226
12,12.0,6.0,11.480009968097708,5.315290432487814,11.564879042871457,4.559357831926618
13,13.0,6.5,11.251870998482541,5.171398642979295,11.39663499804993,4.9040046280843566
14,14.0,7.0,17.642902193839163,3.97561045907438,12.156103773893069,4.623744587085791
15,15.0,7.5,13.618157040699108,3.855406682222936,13.52784903935266,4.683008810319355
16,16.0,8.0,15.125130996508073,8.508531263954236,13.823614239525318,5.365247496143732
17,17.0,8.5,21.2270571324376,5.385611676495394,15.773023672393299,5.379311744945248
18,18.0,9.0,19.122785664464907,12.650244562384573,17.34720660558977,6.875080928826304
19,19.0,9.5,16.8735741175467,9.843268437606875,17.193340990331276,8.048612524532803
20,20.0,10.0,17.776960728890504,5.36425475084412,18.025101727969556,8.35038213825704
21,21.0,10.5,23.284586627025902,9.202235046194373,19.65699285407312,8.489122894705066
22,22.0,11.0,24.630300284168577,14.76174211893533,20.337641484419315,10.364348983193056
23,23.0,11.5,21.542172625452352,11.100047997768831,20.821518876616807,10.054309670269905
24,24.0,12.0,25.35321292498797,7.720543293141238,22.51744663810506,9.629764641376779
25,25.0,12.5,25.488031941141603,12.290885118086312,24.059660880555278,11.015090714825217
26,26.0,13.0,24.881625429565624,10.716595691970667,24.379068641063224,11.317962843980476
27,27.0,13.5,24.704912827478147,11.90506681307952,24.39399114972514,10.746627782809314
28,28.0,14.0,26.865223902150536,13.448116644484596,25.458601405064776,11.216241512152468
29,29.0,14.5,24.229245118311507,15.385505612388606,25.233807843729483,12.749233976001939
30,30.0,15.0,26.682482450214295,17.37284557021818,25.47269794554402,13.765626066428315
31,31.0,15.5,30.387722388059842,11.504616916927617,26.573917337242868,13.923230311419704
32,32.0,16.0,28.99811993178111,16.646300491751223,27.43255875810346,14.871477047154045
33,33.0,16.5,32.31116101346337,15.485790856676916,28.521746180366023,15.279011889592507
34,34.0,17.0,36.93237118656027,18.706414312026123,31.062371394015777,15.94319362952001
35,35.0,17.5,38.81080055300495,19.510638075696157,33.4880350145739,16.370752130615607
36,36.0,18.0,38.294101871417055,17.928232975988628,35.06931091124535,17.65547534242781
37,37.0,18.5,37.76290011554903,17.836000259881803,36.82226694799893,17.893415296053924
38,38.0,19.0,41.43185577267602,22.37586197176824,38.64640589984146,19.271429519072193
39,39.0,19.5,40.298191735826535,18.236473062469223,39.31957000969472,19.177441269160813
40,40.0,20.0,36.9303481431983,19.449387466871226,38.94347952773339,19.165191147395824
41,41.0,20.5,40.578817545606725,19.1034497652814,39.40042266257133,19.400234505254378
42,42.0,21.0,39.75573590258017,19.545269450088508,39.79898981997756,19.74208834329572
43,43.0,21.5,42.654379579783566,21.9638569892416,40.04349458139906,19.65968734679039
44,44.0,22.0,43.09269496325355,25.205272980264862,40.60239522688446,21.05344733034952
45,45.0,22.5,43.566590706923996,22.649504298916305,41.929643739629604,21.69347069675853
46,46.0,23.0,46.88738596789708,22.042509935547955,43.19135742408767,22.281282730811846
47,47.0,23.5,48.469235499606306,25.87157870786419,44.934057343492896,23.54654458236698
48,48.0,24.0,50.818464589584586,21.802577118426722,46.5668743454531,23.514288608204005
49,49.0,24.5,49.03595639259589,26.602293941239335,47.75552663132157,23.793692800398905
50,50.0,25.0,48.320682115317275,20.836225629703915,48.70634491300023,23.431037066556424
51,51.0,25.5,50.36486008244714,28.169066063139475,49.40183973591024,24.65634829207473
52,52.0,26.0,48.99782007153012,29.17115265015317,49.507556650295,25.316263080532526
53,53.0,26.5,50.69105748177519,22.705752600401656,49.48207522873313,25.49689817692751
54,54.0,27.0,53.207722179752416,27.71484529213649,50.31642838616443,25.71940844710694
55,55.0,27.5,53.90659854223915,24.47716549320006,51.4336116715488,26.447596419806167
56,56.0,28.0,54.87867763366924,27.181013358613498,52.33637518179322,26.249985878900976
57,57.0,28.5,57.72067238269949,27.634257721179413,54.080945644027096,25.942606893106227
58,58.0,29.0,61.930483107283436,28.512917597554473,56.32883076912874,27.104039892536786
59,59.0,29.5,60.76347667102129,29.154665867387532,57.83998166738252,27.392004007586998
60,60.0,30.0,59.09100127995518,29.99052701505829,58.87686221492572,28.494676311958642
61,61.0,30.5,60.41354248459407,30.050181503786213,59.98383518511069,29.068509940993188
62,62.0,31.0,62.351099859076925,34.1128461384425,60.90992068038618,30.3642276244458
63,63.0,31.5,62.683549488457814,28.498920108626507,61.06053395662106,30.36142812666021
64,64.0,32.0,65.08335161607273,33.07014072907619,61.92450894563134,31.14452309899794
65,65.0,32.5,66.71266183407157,32.29092350857032,63.448841056454626,31.604602397700347
66,66.0,33.0,62.955226286208465,28.478222221873438,63.9571778167775,31.290210541317794
67,67.0,33.5,66.81184441160002,33.95134802505465,64.84932672728212,31.25791091864022
68,68.0,34.0,71.57013026970374,33.614656201429234,66.6266428835313,32.281058137200766
69,69.0,34.5,70.51556459824047,34.41095804173842,67.71308547996486,32.54922159973321
70,70.0,35.0,69.3452110795742,38.28007521395617,68.23959532906538,33.74705194081038
71,71.0,35.5,69.24458121150383,35.55912371219538,69.49746631412445,35.16323223887477
72,72.0,36.0,71.1128573583846,36.567083145478215,70.35766890348137,35.686379262959484
73,73.0,36.5,75.18833713559663,36.15681057306653,71.08131027665993,36.19481013728694
74,74.0,37.0,73.73832316855831,37.71828424046147,71.7258619907235,36.85627537703156
75,75.0,37.5,73.2379870135249,37.41544444521307,72.50441717751366,36.68334922328293
76,76.0,38.0,77.93389831385612,37.68833329166043,74.2422805979841,37.10919113917594
77,77.0,38.5,75.9366914549604,42.42676867474244,75.20704741729926,38.28112824502879
78,78.0,39.0,75.03904566663273,39.2644625855515,75.1771891235065,38.902658647525776
79,79.0,39.5,81.86813917829,39.56990575951607,76.80315232545283,39.2729829513367
80,80.0,40.0,80.0060747715987,41.4156028102306,78.15676987706759,40.07301462434021
81,81.0,40.5,80.38699786998147,40.83922789609204,78.64738978829266,40.70319354522653
82,82.0,41.0,83.65166768912718,40.17706356998922,80.19038503512601,40.25325252427589
83,83.0,41.5,81.050060652022,42.05492550085978,81.39258803220388,40.811345107337544
84,84.0,42.0,81.23372263487276,41.35819081864332,81.26570472352043,41.169002119163
85,85.0,42.5,87.70518755009411,42.11843408510274,82.80552727921952,41.30956837413742
86,86.0,43.0,84.75481954861749,45.622096093408686,83.67909161494671,42.26614201360075
87,87.0,43.5,87.55128855000247,46.40541323632684,84.45901578712177,43.51181194686827
88,88.0,44.0,91.30367957365856,46.8816293690975,86.50973957144907,44.47715272051582
89,89.0,44.5,89.44346393878905,46.343296996134036,88.15168783223233,45.474173956013956
90,90.0,45.0,91.5411376696763,45.858269396896645,88.91887785614878,46.22214101837274
91,91.0,45.5,90.8613059815815,47.80285528666952,90.14017514274157,46.658292857024904
92,92.0,46.0,93.30862205925152,46.60318540182592,91.2916418445914,46.69784729012473
93,93.0,46.5,90.09918419350643,47.123741888114814,91.05074276856097,46.746269793928185
94,94.0,47.0,93.6385434481948,48.18233097542804,91.88975867044209,47.11407658978699
95,95.0,47.5,95.21055196219024,47.26729295194554,92.6236415289449,47.395881300796766
96,96.0,48.0,95.9277214700841,45.85722942404349,93.63692462664542,47.00675612827156
97,97.0,48.5,96.31597387255901,51.11988330477923,94.23839498930691,47.910095708862215
98,98.0,49.0,98.82582406278101,47.64059406522454,95.98372296316184,48.013466144284166
99,99.0,49.5,100.09582165857645,50.185687065832234,97.27517860523817,48.41413736236501
